file_path,total_mean_reward,learning_rate,n_steps,batch_size,n_epochs,gamma,net_arch
./models/ppo_agent_24-11-30_23:22:56,25.850000000000115,0.00014817961556106218,1152,64,5,0.9564411127674155,"{'pi': [64, 32], 'vf': [256, 128]}"
./models/ppo_agent_24-11-30_23:23:02,19.330000000000034,5.9157021848779726e-05,896,32,5,0.9634547849162696,"{'pi': [64, 32], 'vf': [64, 32]}"
./models/ppo_agent_24-11-30_23:23:07,29.99000000000017,3.8399840273917743e-05,512,32,3,0.9685084364533973,"{'pi': [64, 32], 'vf': [256, 128]}"
./models/ppo_agent_24-11-30_23:23:12,25.140000000000104,0.0010282787974781947,1152,32,5,0.9774382285657003,"{'pi': [64, 32], 'vf': [128, 64]}"
./models/ppo_agent_24-11-30_23:23:19,17.530000000000012,1.611136750892706e-05,896,32,10,0.9867473828946088,"{'pi': [64, 32], 'vf': [128, 64]}"
./models/ppo_agent_24-11-30_23:23:24,22.450000000000067,0.0002091101700955186,1024,32,3,0.9634346278514745,"{'pi': [64, 32], 'vf': [64, 32]}"
./models/ppo_agent_24-11-30_23:23:31,19.910000000000032,0.0003966492405407644,768,32,10,0.9525618789374162,"{'pi': [256, 128], 'vf': [128, 64]}"
./models/ppo_agent_24-11-30_23:23:37,24.30000000000046,1.0684917136877902e-05,512,64,3,0.9730694994789421,"{'pi': [64, 32], 'vf': [256, 128]}"
./models/ppo_agent_24-11-30_23:23:43,28.830000000000314,3.8347008434180496e-05,256,32,5,0.9947977373955822,"{'pi': [64, 32], 'vf': [128, 64]}"
./models/ppo_agent_24-11-30_23:23:50,23.200000000000088,6.658065941918714e-05,1280,32,10,0.9464263249679986,"{'pi': [128, 64], 'vf': [128, 64]}"
